School ID,Name,SEMIS,GPS,Tehsil,UnionCouncil
578,GBPS : JAN MUHAMMAD PANHWAR,401010524,"24.5846939862013, 69.0084542332445",Badin,Abdullah Shah
580,GBPS : MIR MUHAMMAD LUND @ MOHD HASHIM JAM,401010539,"24.5402159438401, 69.0312992784997",Badin,Abdullah Shah
581,GBPS : ALI MUHAMMAD JAMALI,401010555,"24.5683481749531, 68.9894541352987",Badin,Abdullah Shah
583,GBPS : SALEH MALLAH,401010567,"24.5887836153305, 68.9755669982222",Badin,Abdullah Shah
584,GBPS : AHMED BUGHIO,401010570,"24.6558321065387, 68.9464724190196",Badin,Muhammad Khan Bhurgari
585,GBPS : HAJI GUL MUHAMMED JAMALI,401010590,"24.5565989952119, 68.9635198519533",Badin,Abdullah Shah
586,GBPS : LAKHO DINO LUND,401010592,"24.5723743005029, 69.0377506613405",Badin,Abdullah Shah
588,GBPS : BABU KHAN CHANG,401010610,"24.6031648428915, 68.9531591531635",Badin,Muhammad Khan Bhurgari
589,GBPS : MUHAMMAD SIDDIQUE SOOMRO,401010623,"24.5993647797701, 68.9480304306324",Badin,Muhammad Khan Bhurgari
590,GBPS : JOKHYA VILLAGE,401010656,"24.6490210706544, 68.9386805856901",Badin,Muhammad Khan Bhurgari
591,GBPS : MUHAMMAD SOOMAR JAMALI,401010676,"24.5615134400653, 68.9642628266945",Badin,Abdullah Shah
596,GBPS : HAJI YAKOOB JAMALI,401010685,"24.5600131491509, 68.969536718372",Badin,Abdullah Shah
598,GBPS : HAJI TAYYAB JAMALI,401010687,"24.5746635595278, 68.9670885351012",Badin,Abdullah Shah
599,GBPS : ISMAIL JAMALI,401010688,"24.5552010695185, 69.0419054027449",Badin,Abdullah Shah
600,GBPS : HAJI HUSSAIN JAMALI,401010689,"24.5682945082127, 68.964335247907",Badin,Abdullah Shah
602,GBELS : ALI MURAD CHANDIO,401010789,"24.5758801208529, 68.9860859518248",Badin,Abdullah Shah
